Year,CompanyID,Name,SubmissionDate
2022,COMP057,Implement New Process,4/19/2022
2022,COMP058,Upgrade Software,8/11/2022
2023,COMP058,Infrastructure Maintenance,5/9/2023
2023,COMP058,Upgrade Software,6/2/2023
2024,COMP058,Infrastructure Maintenance,10/11/2024
2024,COMP058,Database Optimization,10/25/2024
2025,COMP058,Security Enhancement,1/14/2025
2025,COMP058,Security Enhancement,6/9/2025
2022,COMP059,Database Optimization,7/1/2022
2025,COMP059,Infrastructure Maintenance,12/19/2025
2022,COMP060,Security Enhancement,9/26/2022
2024,COMP060,Upgrade Software,12/18/2024
2025,COMP060,Database Optimization,4/24/2025
2025,COMP060,Security Enhancement,7/16/2025
2024,COMP061,Security Enhancement,5/7/2024
2024,COMP061,Upgrade Software,11/8/2024
2022,COMP062,Infrastructure Maintenance,9/5/2022
2024,COMP062,Implement New Process,5/20/2024
2024,COMP062,Implement New Process,1/11/2024
2022,COMP063,Upgrade Software,11/20/2022
2022,COMP063,Infrastructure Maintenance,9/21/2022
2023,COMP063,Implement New Process,4/17/2023
2023,COMP063,Database Optimization,6/22/2023
2022,COMP064,Security Enhancement,11/3/2022
2022,COMP064,Infrastructure Maintenance,3/8/2022
2023,COMP064,Implement New Process,2/27/2023
2023,COMP064,Database Optimization,2/11/2023
2024,COMP064,Upgrade Software,12/21/2024
2024,COMP064,Security Enhancement,7/5/2024
2025,COMP064,Infrastructure Maintenance,11/3/2025
2022,COMP065,Infrastructure Maintenance,2/15/2022
2022,COMP065,Security Enhancement,7/9/2022
2025,COMP065,Upgrade Software,11/19/2025
2022,COMP066,Security Enhancement,3/22/2022
2023,COMP067,Security Enhancement,5/15/2023
2025,COMP067,Implement New Process,10/22/2025
2022,COMP068,Infrastructure Maintenance,2/26/2022
2022,COMP068,Security Enhancement,8/13/2022
2023,COMP068,Upgrade Software,12/28/2023
2024,COMP068,Database Optimization,2/26/2024
2024,COMP068,Upgrade Software,2/27/2024
2025,COMP068,Security Enhancement,10/15/2025
2025,COMP068,Database Optimization,2/21/2025
2022,COMP069,Infrastructure Maintenance,10/24/2022
2022,COMP069,Upgrade Software,12/18/2022
2024,COMP069,Infrastructure Maintenance,2/7/2024
2025,COMP069,Infrastructure Maintenance,6/20/2025
2025,COMP069,Security Enhancement,4/11/2025
2022,COMP070,Infrastructure Maintenance,3/3/2022
2023,COMP070,Upgrade Software,12/23/2023
2025,COMP070,Database Optimization,12/12/2025
2025,COMP071,Upgrade Software,5/3/2025
2025,COMP071,Upgrade Software,10/24/2025
2025,COMP072,Infrastructure Maintenance,7/3/2025
2022,COMP073,Database Optimization,1/13/2022
2023,COMP073,Security Enhancement,9/10/2023
2025,COMP073,Security Enhancement,3/15/2025
2025,COMP073,Infrastructure Maintenance,6/7/2025
2022,COMP074,Upgrade Software,5/28/2022
2023,COMP074,Infrastructure Maintenance,2/27/2023
2023,COMP074,Security Enhancement,9/5/2023
2024,COMP074,Security Enhancement,5/25/2024
2025,COMP074,Security Enhancement,9/15/2025
2022,COMP075,Implement New Process,1/23/2022
2023,COMP075,Database Optimization,3/2/2023
2023,COMP075,Upgrade Software,8/2/2023
2025,COMP075,Upgrade Software,10/14/2025
2025,COMP075,Database Optimization,2/22/2025
2022,COMP076,Security Enhancement,4/12/2022
2024,COMP076,Implement New Process,3/28/2024
2024,COMP076,Upgrade Software,7/27/2024
2025,COMP076,Security Enhancement,1/25/2025
2025,COMP076,Upgrade Software,5/4/2025
2022,COMP077,Infrastructure Maintenance,6/23/2022
2022,COMP077,Security Enhancement,9/16/2022
2024,COMP077,Security Enhancement,2/23/2024
2024,COMP077,Database Optimization,5/18/2024
2025,COMP077,Security Enhancement,10/15/2025
2023,COMP078,Database Optimization,10/26/2023
2025,COMP078,Infrastructure Maintenance,6/10/2025
2025,COMP078,Upgrade Software,1/11/2025
2022,COMP079,Security Enhancement,12/11/2022
2022,COMP079,Database Optimization,1/20/2022
2023,COMP079,Database Optimization,2/4/2023
2024,COMP079,Implement New Process,6/19/2024
2025,COMP079,Infrastructure Maintenance,1/20/2025
2025,COMP079,Database Optimization,12/25/2025
2022,COMP080,Database Optimization,3/22/2022
2022,COMP080,Infrastructure Maintenance,5/9/2022
2024,COMP080,Infrastructure Maintenance,2/26/2024
2023,COMP081,Database Optimization,1/6/2023
2023,COMP081,Implement New Process,8/22/2023
2024,COMP081,Upgrade Software,6/6/2024
2024,COMP081,Database Optimization,2/2/2024
2025,COMP081,Infrastructure Maintenance,7/26/2025
2023,COMP082,Upgrade Software,12/28/2023
2023,COMP082,Infrastructure Maintenance,8/20/2023
2024,COMP082,Security Enhancement,12/24/2024
2024,COMP082,Implement New Process,8/9/2024
2025,COMP082,Security Enhancement,8/18/2025
2022,COMP083,Security Enhancement,7/15/2022
2022,COMP083,Implement New Process,8/4/2022
2024,COMP083,Implement New Process,2/24/2024
2024,COMP083,Implement New Process,7/9/2024
2025,COMP083,Database Optimization,12/25/2025
2025,COMP083,Implement New Process,1/22/2025
2022,COMP084,Security Enhancement,10/7/2022
2022,COMP084,Infrastructure Maintenance,7/17/2022
2025,COMP084,Infrastructure Maintenance,4/27/2025
2025,COMP084,Database Optimization,1/4/2025
2022,COMP085,Implement New Process,9/16/2022
2022,COMP085,Implement New Process,9/9/2022
2023,COMP085,Security Enhancement,5/27/2023
2023,COMP085,Database Optimization,1/24/2023
2024,COMP085,Implement New Process,12/11/2024
2025,COMP085,Database Optimization,9/28/2025
2025,COMP086,Implement New Process,8/10/2025
2022,COMP087,Implement New Process,3/4/2022
2022,COMP087,Upgrade Software,5/22/2022
2024,COMP087,Implement New Process,6/27/2024
2024,COMP087,Infrastructure Maintenance,4/22/2024
2025,COMP087,Upgrade Software,11/6/2025
2023,COMP088,Infrastructure Maintenance,5/25/2023
2024,COMP088,Security Enhancement,5/7/2024
2025,COMP088,Security Enhancement,12/5/2025
2025,COMP088,Security Enhancement,10/21/2025
2022,COMP089,Implement New Process,11/26/2022
2023,COMP089,Security Enhancement,9/21/2023
2024,COMP089,Database Optimization,11/1/2024
2024,COMP089,Upgrade Software,4/1/2024
2023,COMP090,Security Enhancement,7/27/2023
2023,COMP090,Upgrade Software,12/7/2023
2025,COMP090,Infrastructure Maintenance,6/8/2025
2022,COMP091,Security Enhancement,7/19/2022
2022,COMP092,Implement New Process,3/8/2022
2023,COMP092,Upgrade Software,10/18/2023
2023,COMP092,Security Enhancement,9/11/2023
2024,COMP092,Security Enhancement,1/22/2024
2024,COMP092,Implement New Process,5/28/2024
2023,COMP093,Infrastructure Maintenance,12/15/2023
2023,COMP093,Security Enhancement,2/16/2023
2024,COMP093,Implement New Process,9/28/2024
2024,COMP093,Database Optimization,7/13/2024
2025,COMP093,Database Optimization,11/12/2025
2025,COMP093,Security Enhancement,5/14/2025
2022,COMP094,Database Optimization,6/5/2022
2022,COMP094,Database Optimization,5/24/2022
2023,COMP094,Security Enhancement,1/27/2023
2024,COMP094,Implement New Process,7/9/2024
2024,COMP094,Implement New Process,6/23/2024
2025,COMP094,Infrastructure Maintenance,8/11/2025
2025,COMP094,Database Optimization,1/17/2025
2023,COMP095,Implement New Process,1/28/2023
2024,COMP095,Implement New Process,6/10/2024
2022,COMP096,Infrastructure Maintenance,4/5/2022
2022,COMP096,Database Optimization,9/23/2022
2025,COMP096,Upgrade Software,11/20/2025
2023,COMP097,Database Optimization,2/10/2023
2023,COMP097,Security Enhancement,10/3/2023
2025,COMP097,Database Optimization,3/4/2025
2022,COMP098,Security Enhancement,5/8/2022
2023,COMP098,Implement New Process,3/23/2023
2023,COMP098,Security Enhancement,7/19/2023
2025,COMP098,Security Enhancement,7/1/2025
2022,COMP099,Database Optimization,12/18/2022
2022,COMP099,Database Optimization,7/1/2022
2023,COMP099,Security Enhancement,10/24/2023
2023,COMP099,Infrastructure Maintenance,5/15/2023
2024,COMP099,Security Enhancement,10/5/2024
2024,COMP099,Implement New Process,8/18/2024
2022,COMP100,Infrastructure Maintenance,11/7/2022
2023,COMP100,Security Enhancement,3/6/2023
2023,COMP100,Database Optimization,6/7/2023
2024,COMP100,Implement New Process,5/12/2024
2024,COMP100,Infrastructure Maintenance,3/11/2024
2025,COMP100,Database Optimization,5/12/2025
